BookTitle,Author,clean_summary
Moonfleet,J. Meade Falkner,in moonfleet is a small village near the sea in the south of england it gets its name from a formerly prominent local family the mohunes whose coat of arms included a symbol shaped like a capital y john trenchard is an orphan who lives with his aunt miss arnold other notable residents are the sexton mr ratsey who is friendly to john parson glennie the local clergyman who also teaches in the village school elzevir block the landlord of the local inn called the mohune arms but nicknamed the why not because of its sign with the mohune y and mr maskew the unpopular local magistrate and his beautiful daughter grace village legend tells of the notorious colonel john blackbeard mohune who is buried in the family crypt under the church he is reputed to have stolen a diamond from king charles i and hidden it his ghost is said to wander at night looking for it and the mysterious lights in the churchyard are attributed to his activities as the main part of the story opens blocks youthful son david has just been killed by maskew during an attack by the authorities on a smuggling boat one night a bad storm hits the village and there is a flood while attending the sunday service at church john hears strange sounds from the crypt below he thinks it is the sound of the coffins of the mohune family the next day he finds elzevir and ratsey against the south wall of the church they claim to be checking for damage from the storm but john suspects they are searching for blackbeards ghost later john finds a large sinkhole has opened in the ground by a grave he follows the passage and finds himself in the crypt with coffins on shelves and casks on the floor he realises his friends are smugglers and this is their hiding place he has to hide behind a coffin when he hears ratsey and elzevir coming when they leave they fill in the hole inadvertently trapping him john finds a locket in a coffin which holds a piece of paper with verses from the bible john eventually passes out after drinking too much of the wine while trying to quench his thirst having not eaten or drunk for days later he wakes up in the why not inn he has been rescued by elzevir and ratsey when he is better he returns to his aunts house but she suspecting him of drunken behaviour throws him out fortunately elzevir takes him in but when blocks lease on the why not comes up for renewal maskew bids against him in the auction and wins block must leave the inn and moonfleet but plans one last smuggling venture john feels honour bound to go with him and sadly says goodbye to grace maskew whom he loves and has been seeing in secret and gets his mothers prayer book as a good luck charm the excisemen and maskew are aware of the planned smuggling run but do not know exactly where it will occur during the landing maskew appears and is caught by the smugglers elzevir is bent on vengeance for his son by killing maskew and while the rest land the cargo and leave he and john keep watch over maskew just as block prepares to shoot maskew the excisemen attack they kill maskew and wound john block carries john away to safety and they hide in some old quarries while there john inadvertently finds out that the verses from blackbeards locket contain a code which will reveal the location of his famous diamond once johns wound heals he and block decide to recover the diamond from carisbrooke castle after a suspenseful scene in the well where the jewel is hidden they succeed and escape to holland where they try to sell it to a jewish diamond merchant named crispin aldobrand the merchant cheats them claiming the diamond is fake elzevir falls for the deceit and angrily throws the diamond out of the window john however knows they have been duped and suggests they try to recover the diamond through burglary the attempt fails and they are arrested and sentenced to prison john curses the merchant for his lies john and elzevir go to prison for life eventually they are separated then unexpectedly ten years later their paths cross again they are being transported and board a ship a storm blows up and by a strong coincidence john and elzevir find themselves near moonfleet they throw themselves into the sea and start to swim to shore elzevir helps john to safety but is himself dragged under by the tide and drowned so john ends up back where his whole adventure started in the why not and is reunited with ratsy he is also reunited with grace she is now a rich young lady having inherited her fathers money however she is still in love with john and they decide to marry john tells her about the diamond and his life in prison he regrets having lost everything but then parson glennie receives a letter from aldobrand the merchant suffered a guilty conscience and in an attempt to make amends has bequeathed the worth of the diamond to john john gives the money to the village and new almshouses are built and the school and the church renovated john marries grace and becomes lord of the manor and justice of the peace their three children grow up and their sons leave home including their first born son elzevir but john and grace themselves have no plans to leave their beloved moonfleet ever again a feature of the narrative is a continuing reference to the boardgame of backgammon which is played by the patrons of the why not on an antique board which bears a latin inscription ita in vita ut in lusu alae pessima jactura arte corrigenda est translated in the book as as in life so in a game of hazard skill will make something of the worst of throws this inscription provides a moralistic metaphor to the story of the orphan boy who in the end overcomes his travails
Neuromancer,William Gibson,henry dorsett case is a low level hustler in the dystopian underworld of chiba city japan once a talented computer hacker case was caught stealing from his employer as punishment for his theft cases central nervous system was damaged with a mycotoxin leaving him unable to use keyboard skills to access the global computer network in cyberspace a virtual reality dataspace called the matrix unemployable addicted to drugs and suicidal case desperately searches the chiba black clinics for a miracle cure case is saved by molly millions an augmented street samurai and mercenary for a shadowy ex military officer named armitage who offers to cure case in exchange for his services as a hacker case jumps at the chance to regain his life as a console cowboy but neither case nor molly know what armitage is really planning cases nervous system is repaired using new technology that armitage offers the clinic as payment but he soon learns from armitage that sacs of the poison that first crippled him have been placed in his blood vessels as well armitage promises case that if he completes his work in time the sacs will be removed otherwise they will dissolve disabling him again he also has cases pancreas replaced and new tissue grafted into his liver leaving case incapable of metabolizing cocaine or amphetamines and apparently ending his drug addiction case develops a close personal relationship with molly who suggests that he begin looking into armitages background meanwhile armitage assigns them their first job they must steal a rom module that contains the saved consciousness of one of cases mentors legendary cyber cowboy mccoy pauley nicknamed dixie flatline pauleys hacking expertise is needed by armitage and the rom construct is stored in the corporate headquarters of media conglomerate sense net a street gang named the panther moderns are hired to create a simulated terrorist attack on sense net the diversion allows molly to penetrate the building and steal dixies rom case and molly continue to investigate armitage discovering his former identity of colonel willis corto corto was a member of operation screaming fist which planned on infiltrating and disrupting soviet computer systems from ultralight aircraft dropped over russia the russian military had learned of the idea and installed defenses to render the attack impossible but the military went ahead with screaming fist with a new secret purpose of testing these russian defenses as the operation team attacked a soviet computer center emp weapons shut down their computers and flight systems and corto and his men were targeted by soviet laser defenses he and a few survivors commandeered a soviet military helicopter and escaped over the heavily guarded finnish border everyone was killed except corto who was seriously wounded and heavily mutilated by finnish defense forces attacking as they were landing the helicopter corto after some months in hospital is visited by a government military official and then medically rebuilt to be able to provide what he came to realise was fake testimony designed to mislead the public and protect the military officers who had covered up knowledge of the emp weapons after the trials corto snaps killing the government official who contacted him and then disappears into the criminal underworld in istanbul the team recruits peter riviera an artist thief and drug addict who is able to project detailed holographic illusions with the aid of sophisticated cybernetic implants although riviera is a sociopath armitage coerces him into joining the team the trail leads case and molly to a powerful artificial intelligence named wintermute created by the plutocratic tessier ashpool family who spend most of their inactive time in cryonic preservation inside villa straylight a labyrinthine mansion located at one end of freeside a cylindrical space habitat located at l and functioning primarily as a las vegas style space resort for the wealthy wintermutes nature is finally revealed it is one half of a super ai entity planned by the family although its exact purpose is unknown the turing law code governing ais bans the construction of such entities to get around this it had to be built as two separate ais wintermute was programmed by the tessier ashpool dynasty with a need to merge with its other half neuromancer unable to achieve this merger on its own wintermute recruited armitage and his team to help complete the goal case is tasked with entering cyberspace to pierce the turing imposed software barriers using a powerful icebreaker program at the same time riviera is to obtain the password to the turing lock from lady jane marie france tessier ashpool an unfrozen daughter clone and the current leader of tessier ashpool sa wintermute believes riviera will pose an irresistible temptation to her and that she will give him the password the password must be spoken into an ornate computer terminal located in the tessier ashpool home in villa straylight and entered simultaneously as case pierces the software barriers in cyberspace otherwise the turing lock will remain intact armitages team attracts the attention of the turing police whose job is to prevent ais from exceeding their built in limitations as molly and riviera gain entrance to villa straylight three officers arrest case and take him into custody wintermute manipulates the orbital casinos security and maintenance systems and kills the officers allowing case to escape the armitage personality starts to disintegrate and revert to the corto personality as he relives screaming fist it is revealed that in the past wintermute had originally contacted corto through a bedside computer during his convalescence eventually convincing corto that he was armitage wintermute used him to persuade case and molly to help it merge with its twin ai neuromancer finally armitage becomes the shattered corto again but his newfound personality is short lived as he is killed by wintermute inside villa straylight molly is captured by riviera and lady jane worried about molly and operating under orders from wintermute case tracks her down with help from maelcum his rastafarian pilot neuromancer attempts to trap case within a cyber construct where he finds the consciousness of linda lee his girlfriend from chiba city who was murdered by one of cases underworld contacts case manages to escape flatlining inside the construct by choosing of his own free will not to stay freeing himself case takes maelcum and confronts lady jane riviera and hideo lady janes ninja bodyguard riviera tries to kill case but lady jane is sympathetic towards case and molly and hideo protects him riviera blinds hideo but flees when he learns that the ninja is just as adept without his sight molly then explains to case that riviera is doomed anyway as he has been fatally poisoned by his drugs which she had spiked with lady jane in possession of the password the team makes it to the computer terminal case ascends to cyberspace to guide the icebreaker to penetrate its target lady jane is induced to give up her password and the lock is opened wintermute unites with neuromancer fusing into a greater entity the poison in cases bloodstream is washed out and he and molly are handsomely paid for their efforts while pauleys rom construct is apparently erased at his own request in the epilogue molly leaves case case finds a new girlfriend resumes his hacking work and spends his earnings from the mission replacing his internal organs so that he can continue his previous drug use wintermute neuromancer contacts him saying that it has become the sum total of the works the whole show and has begun looking for other ais like itself scanning old recorded transmissions from the s the super ai finds a lone ai transmitting from the alpha centauri star system in the matrix case hears inhuman laughter a trait associated with pauley during cases work with his rom construct thus suggesting that pauley was not erased after all but instead worked out a side deal with wintermute neuromancer to be freed from the construct so he could exist in the matrix in the end while logged into the matrix case catches a glimpse of himself his dead girlfriend linda lee and neuromancer the implication of the sighting is that neuromancer created a copy of cases consciousness when it previously tried to trap him the copy of cases consciousness now exists with that of lindas in the matrix where they are together forever
Cryptonomicon,Neal Stephenson,the action takes place in two periods the second world war and the late s during the internet boom in lawrence pritchard waterhouse a young u s navy code breaker and mathematical genius is assigned to the newly formed joint british and american detachment this ultra secret units role is to hide the fact that allied intelligence has cracked the german enigma code the detachment stages events often behind enemy lines that provide alternative explanations for the allied intelligence successes marine sergeant bobby shaftoe a veteran of china and guadalcanal serves in unit carrying out waterhouses plans at the same time japanese soldiers including mining engineer goto dengo an old friend of shaftoes are assigned to build a mysterious bunker in the mountains in the philippines as part of what turns out to be a literal suicide mission circa randy waterhouse lawrences grandson joins his old dungeons and dragons companion avi halaby in a new startup providing pinoy grams to migrant filipinos via new fiber optic cables the aptly named epiphyte corporation uses this income stream to fund the creation of a data haven in the nearby fictional sultanate of kinakuta vietnam veteran doug shaftoe and his daughter amy do the undersea surveying for the cables and engineering work on the haven is overseen by goto furudenendu heir apparent to goto engineering complications arise as figures from the past reappear seeking gold or revenge
No Logo,Naomi Klein,the book comprises four sections no space no choice no jobs and no logo the first three deal with the negative effects of brand oriented corporate activity while the fourth discusses various methods people have taken in order to fight back the book begins by tracing the history of brands klein argues that there has been a shift in the usage of branding there is an actual clothing brand nologo which has existed since the late s and can be seen at www nologo com this is an excellent example of this shift to an anti brand brand early examples of brands were often used to put a recognizable face on factory produced products these slowly gave way to the idea of selling lifestyles according to klein in response to an economic crash in the s latin american debt crisis black monday savings and loan crisis japanese asset price bubble corporations began to seriously rethink their approach to marketing and began to target the youth demographic as opposed to the baby boomers who had previously been considered a much more valuable segment the book discusses how brand names such as nike or pepsi expanded beyond the mere products which bore their names and how these names and logos began to appear everywhere as this happened the brands obsession with the youth market drove them to further associate themselves with whatever the youth considered cool along the way the brands attempted to have their names associated with everything from movie stars and athletes to grassroots social movements klein argues that large multinational corporations consider the marketing of a brand name to be more important than the actual manufacture of products this theme recurs in the book and klein suggests that it helps explain the shift to production in third world countries in such industries as clothing footwear and computer hardware this section also looks at ways in which brands have muscled their presence into the school system and how in doing so they have pipelined advertisements into the schools and have used their position to gather information about the students klein argues that this is part of a trend toward targeting younger and younger consumers in the second section klein discusses how brands use their size and clout to limit the number of choices available to the public whether through market dominance wal mart or through aggressive invasion of a region starbucks klein argues that the goal of each company is to become the dominant force in its respective field meanwhile other corporations such as sony or disney simply open their own chains of stores preventing the competition from even putting their products on the shelves this section also discusses the way that corporations merge with one another in order to add to their ubiquity and provide greater control over their image abc news for instance is allegedly under pressure not to air any stories that are overly critical of disney its parent company other chains such as wal mart often threaten to pull various products off of their shelves forcing manufacturers and publishers to comply with their demands this might mean driving down manufacturing costs or changing the artwork or content of products like magazines or albums so they better fit with wal marts image of family friendliness also discussed is the way that corporations abuse copyright laws in order to silence anyone who might attempt to criticize their brand in this section the book takes a darker tone and looks at the way in which manufacturing jobs move from local factories to foreign countries and particularly to places known as export processing zones such zones have no labor laws leading to dire working conditions the book then shifts back to north america where the lack of manufacturing jobs has led to an influx of work in the service sector where most of the jobs are for minimum wage and offer no benefits the term mcjob is introduced defined as a job with poor compensation that does not keep pace with inflation inflexible or undesirable hours little chance of advancement and high levels of stress meanwhile the public is being sold the perception that these jobs are temporary employment for students and recent graduates and therefore need not offer living wages or benefits all of this is set against a backdrop of massive profits and wealth being produced within the corporate sector the result is a new generation of employees who have come to resent the success of the companies they work for this resentment along with rising unemployment labour abuses abroad disregard for the environment and the ever increasing presence of advertising breeds a new disdain for corporations the final section of the book discusses various movements that have sprung up during the s these include adbusters magazine and the culture jamming movement as well as reclaim the streets and the mclibel trial less radical protests are also discussed such as the various movements aimed at putting an end to sweatshop labour klein concludes by contrasting consumerism and citizenship opting for the latter when i started this book she writes i honestly didnt know whether i was covering marginal atomized scenes of resistance or the birth of a potentially broad based movement but as time went on what i clearly saw was a movement forming before my eyes
The Three Stigmata of Palmer Eldritch,Philip K. Dick,the story begins in a future world where global warming has resulted in global temperatures so high that in most of the world it is unsafe to be outside without special cooling gear during daylight hours in a desperate bid to preserve humanity and ease population burdens on earth the un has initiated a draft for colonizing the nearby planets where conditions are so horrific and primitive that the unwilling colonists have fallen prey to a form of escapism involving the use of an illegal drug can d in concert with layouts layouts are physical props intended to simulate a sort of alternate reality where life is easier than either the grim existence of the colonist in their marginal off world colonies or even earth where global warming has progressed to the point that antarctica is prime vacation resort territory the illegal drug can d allows people to share their experience of the perky pat the name of the main female character in the simulated world layouts this sharing has caused a pseudo religious cult or series of cults to grow up around the layouts and the use of the drug up to the point where the novel begins new york city based perky pat or p p layouts inc has held a monopoly on this product as well as on the illegal trade in the drug can d which makes the shared hallucinations possible the novel opens shortly after barney mayerson p p layouts top precognitive someone who can glimpse future possibilities and sort out the most likely to actually occur has received a draft notice from the un for involuntary resettlement as a colonist on mars mayerson is sleeping with his assistant roni fugate but remains conflicted about the divorce which he himself initiated from his first wife emily a ceramic pot artist meanwhile emilys second husband tries to sell her pot designs to p p layouts as possible accessories for the perky pat virtual worlds but barney recognizing them as emilys rejects them out of spite meanwhile the un rescues palmer eldritchs ship from a crash on pluto leo bulero head of p p layouts and an evolved human meaning someone who has undergone expensive genetic treatments by a german doctor which are supposed to push the client forward on an evolutionary scale and which result in gross physical as well as mental modifications hears rumors that eldritch discovered an alien hallucinogen in the prox system with similar properties to can d and that he plans to market it as chew z with u n approval on off world colonies however chew z does not require the prop of the external layouts and seems to have certain undefined qualities that make the use of chew z even more addictive than can d has been this would effectively destroy p p layouts bulero tries to contact eldritch but he is quarantined at a u n hospital both mayerson and fugate have precognitions of reports that bulero is going to be responsible for murdering eldritch meanwhile emily and her second husband sell her pottery designs to eldritch and use the payment to undergo evolution therapy unfortunately emily begins to devolve rather than evolving this devolution results in a loss of creativity and she finds herself recreating older less sophisticated designs from earlier work without realizing it under the guise of a reporter bulero travels to eldritchs estate on the moon where eldritch holds a press conference bulero is kidnapped and forced to take chew z intravenously he enters a psychic netherworld over which both he and eldritch seemingly have some control after wrangling about business with eldritch bulero travels to what appears to be earth at some time in the not too distant future evolved humans identify him as a ghost and show him a monument to himself commemorating his role in the death of eldritch an enemy of the sol system bulero returns to earth and fires mayerson because mayerson was afraid to travel to the moon to rescue him mayerson in despair accepts his un conscription to mars but bulero recruits him as a double agent mayerson is to inject himself with a virus after taking chew z in a plot to deceive the un into thinking chew z is harmful and cause them to ban it on mars mayerson buys some chew z from eldritch who appears in holographic form mayerson tries to hallucinate a world where he is still with emily but finds that he does not control his hallucination like bulero he finds himself in the future mayerson arrives in new york two years hence where he speaks with bulero fugate and his future self about the death of palmer eldritch he also encounters several manifestations of eldritch identifiable by their robotic right hand artificial eyes and steel teeth eldritch offers to help mayerson become whatever he wants but in fact is so manipulative and controlling of the chew z alternate reality that mayerson ultimately decides hed rather be dead than continue to be manipulated by eldritch when a despairing mayerson chooses death he finds himself apparently forced into eldritchs body right at the point in the timeline where bulero is ready to shoot a torpedo at eldritchs ship it appears that eldritchs plan is to preserve his own life essence housed in mayersons body while allowing mayerson himself to die in eldritchs place eldritch meanwhile intends to live on in mayersons form and enjoy the simple if arduous life of a martian colonist mayerson stuck in eldritchs body and mistaken for him is indeed nearly killed by bulero in the near future but before the fatal shot can be fired he is awakened from his chew z trance in the present by bulero who has just arrived on mars bulero is willing to take mayerson back to earth but refuses to after learning that mayerson did not inject himself with the virus mayerson is now confident that bulero will kill eldritch so the sacrifice of taking the virus in order to ruin eldritchs business is unnecessary but he does not try to convince bulero of this later mayerson discusses his experience with a neo christian colonist and they conclude that either eldritch became a god in the prox system or some god like being has taken his place mayerson is convinced some aspect of eldritch is still inside him and that as long as he refuses to take chew z again it is eldritch who will actually be killed by bulero in the near future mayerson is half resigned half hopeful about taking on the life of a martian colonist without reprieve mayerson considers the possibility of eldritch being what humans have always thought of as a god but inimical or perhaps merely an inferior aspect of a bigger and better sort of god the novel has an ambiguous ending with bulero heading back toward earth and apparent proliferation of eldritchs cyborg bodily stigmata which may mean that bulero is still trapped in eldritchs hallucinatory domain or that chew z is becoming increasingly popular amongst terrans and martian colonists
Time out of Joint,Philip K. Dick,as the novel opens its protagonist ragle gumm believes that he lives in the year in a quiet american suburb his unusual profession consists of repeatedly winning the cash prize in a local newspaper competition called where will the little green man be next gumms has some differences from ours the tucker car is in production am fm radios are scarce to non existent and marilyn monroe is a complete unknown as the novel opens strange things begin to happen to gumm a soft drink stand disappears replaced by a small slip of paper with the words soft drink stand printed on it in block letters intriguing little pieces of the real turn up a magazine article on marilyn monroe a telephone book with non operational exchanges listed and radios hidden away in someone elses house people with no apparent connection to gumm including military pilots using aircraft transceivers refer to him by name few other characters notice these or experience similar anomalies the sole exception is gumms supposed brother in law victor vic nielson in whom he confides a neighborhood woman mrs keitelbein invites him to a civil defense class where he sees a model of a futuristic underground military factory he has the unshakeable feeling hes been inside that building many times before confusion gradually mounts for gumm his neighbor bill black knows far more about these events than he admits and observing this begins worrying suppose ragle gumm is becoming sane again in fact gumm does become sane and the deception surrounding him erected to protect and exploit him begins to unravel gumm tries to escape the town and is turned back by kafkaesque obstructions he sees a magazine with himself on the cover in a military uniform at the factory depicted in the model he tries a second time to escape this time with vic and succeeds he learns that his idyllic town is a constructed reality designed to protect him from the frightening fact that he lives on a then future earth circa that is at war with its colonists on the moon who are fighting for a permanent lunar habitation that is politically independent of earth as well gumm has a unique ability to predict where the colonists nuclear strikes will be aimed previously gumm did this work for the military but then he defected to the colonists side and planned to secretly emigrate to the moon but before this could happen he began retreating into a fantasy world based largely upon the relatively idyllic surroundings of his extreme youth he was no longer able to shoulder the awesome responsibility of being the earths lone protector from lunar launched h bomb attacks the fake town was thereby created in gumms mental image to accommodate his dementia so that he would continue predicting missile strikes in the guise of submitting entries to a harmless newspaper contest and without the ethical qualms involved with being on the wrong side of a civil war when gumm finally remembers his true history he decides to emigrate to the moon after all because he feels that exploration and migration being as they are basic human impulses should never be denied a people by any national or planetary government vic rejects this belief referring to the colonists essentially as aggressors and terrorists and returns to the town the book ends with some hope for peace because the colonists are more willing to negotiate than the earth government has been telling its citizens
A Scanner Darkly,Philip K. Dick,the protagonist is bob arctor member of a household of drug users who is also living a parallel life as agent fred an undercover police agent assigned to spy on arctors household arctor fred shields his true identity from those in the drug subculture and from the police themselves the requirement that narcotics agents remain anonymous to avoid collusion and other forms of corruption becomes a critical plot point late in the book while supposedly only posing as a drug user arctor becomes addicted to substance d also referred to as slow death death or d a powerful psychoactive drug an ongoing conflict is arctors love for donna a drug dealer through whom he intends to identify high level dealers of substance d arctors persistent use of the drug causes the two hemispheres of his brain to function independently or compete through a series of drug and psychological tests arctors superiors at work discover that his addiction has made him incapable of performing his job as a narcotics agent donna takes arctor to new path a rehabilitation clinic just as arctor begins to experience the symptoms of substance d withdrawal it is revealed that donna has been a narcotics agent all along working as part of a police operation to infiltrate new path and determine its funding source without his knowledge arctor has been selected to penetrate the secretive organization as part of the rehab program arctor is renamed bruce and forced to participate in cruel group dynamic games intended to break the will of the patients the story ends with bruce working at a new path farming commune where he is suffering from a serious neurocognitive deficit after withdrawing from substance d although considered by his handlers to be nothing more than a walking shell of a man bruce manages to spot rows of blue flowers growing hidden among rows of corn and realizes the blue flowers are mors ontologica the source of substance d the book ends with bruce hiding a flower in his shoe to give to his friends undercover police agents posing as recovering addicts at the los angeles new path facility on thanksgiving
Radio Free Albemuth,Philip K. Dick,in this alternate history the corrupt us president ferris f fremont fff for f being the th letter in the alphabet see number of the beast becomes chief executive in the late nineteen sixties following lyndon johnsons administration the character is best described as an amalgam of joseph mccarthy and richard nixon who abrogates civil liberties and human rights through positing a conspiracy theory centered around a presumably fictitious subversive organization known as aramchek in addition to this he is associated with a right wing populist movement called friends of the american people fapers ironically enough the presidents paranoia and opportunism lead to the establishment of a real resistance movement that is organized through narrow beam radio transmissions from a mysterious alien near earth satellite by a superintelligent extraterrestrial but less than omnipotent being or network named valis as with its successor valis this novel is autobiographical dick himself is a major character though fictitious protagonist nicholas brady serves as a vehicle for dicks alleged gnostic theophany on february in addition sadassa silvia is a character who claims that ferris fremont is actually a communist covert agent recruited by sadassas mother when fremont was still a teenager as with valis radio free albemuth deals with author philip dicks highly personal style of christianity or gnosticism it further examines the moral and ethical repercussions of informing on trusting friends for the authorities also prominent is dicks dislike of the republican party satirizing nixons america as a stalinist or neo fascist police state fremont eventually captures and imprisons dick and brady after the latter attempts to produce and distribute a record that contains subliminal messages of revolt against the current dictatorship brady and silvia are executed and dick narrates the concluding passage about his life in a concentration camp where his supposedly latest work is actually penned by a ghost writer and regime approved hack suddenly however he hears music blaring from a transistor radio which contains the same subliminal message he and his friends it turns out were just a decoy set up by valis to detour the government from stopping a much more popular a list band from releasing a similar record with a better established recording company as dick realizes this and hears youngsters repeating the lyrics he realizes that salvation may lie within the hearts and minds of the next generation
Pride and Prejudice,Jane Austen,the narrative opens with mr bingley a wealthy charming and social young bachelor moving into netherfield park in the neighbourhood of the bennet family mr bingley is soon well received while his friend mr darcy makes a less favorable first impression by appearing proud and condescending at a ball that they attend this is partly explained in that he detests dancing and is not much for light conversation mr bingley singles out elizabeths elder sister jane for particular attention and it soon becomes apparent that they have formed an attachment to each other by contrast darcy slights elizabeth who overhears and jokes about it despite feeling a budding resentment on paying a visit to mr bingleys sister jane is caught in a heavy downpour catches cold and is forced to stay at netherfield for several days elizabeth arrives to nurse her sister and is thrown into frequent company with mr darcy who begins to perceive his attachment to her but is too proud to proceed on this feeling mr collins a clergyman pays a visit to the bennets mr bennet and elizabeth are much amused by his obsequious veneration of his employer the noble lady catherine de bourgh as well as by his self important and pedantic nature it soon becomes apparent that mr collins has come to longbourn to choose a wife from among the bennet sisters his cousins and elizabeth has been singled out at the same time elizabeth forms an acquaintance with mr wickham a militia officer who claims to have been very seriously mistreated by mr darcy despite having been a ward of mr darcys father this tale and elizabeths attraction to mr wickham adds fuel to her dislike of mr darcy at a ball given by mr bingley at netherfield mr darcy becomes aware of a general expectation that mr bingley and jane will marry and the bennet family with the exception of jane and elizabeth make a public display of poor manners and decorum the following morning mr collins proposes marriage to elizabeth who refuses him much to her mothers distress mr collins recovers and promptly becomes engaged to elizabeths close friend charlotte a homely woman with few prospects mr bingley abruptly quits netherfield and returns to london and elizabeth is convinced that mr darcy and mr bingleys sister have conspired to separate him from jane in the spring elizabeth visits charlotte and mr collins in kent elizabeth and her hosts are frequently invited to rosings park home of lady catherine de bourgh darcys aunt coincidentally darcy also arrives to visit darcy again finds himself attracted to elizabeth and impetuously proposes to her elizabeth however has just learned of darcys role in separating mr bingley from jane from his cousin colonel fitzwilliam she angrily rebukes him and a heated discussion follows she charges him with destroying her sisters happiness with treating mr wickham disgracefully and with having conducted himself towards her in an ungentleman like manner mr darcy shocked ultimately responds with a letter giving a good account of most of his actions wickham had exchanged his legacies for a cash payment only to return after gambling away the money to reclaim the forfeited inheritance he then attempted to elope with darcys young sister thereby to capture her fortune regarding mr bingley and jane darcy claimed he had observed no reciprocal interest in jane for bingley elizabeth later came to acknowledge the truth of darcys assertions some months later elizabeth and her aunt and uncle gardiner visit pemberley darcys estate believing he will be absent for the day he returns unexpectedly and though surprised he is gracious and welcoming he treats the gardiners with great civility he introduces elizabeth to his sister and elizabeth begins to realise her attraction to him their reacquaintance is cut short however by news that lydia elizabeths sister has run away to elope with mr wickham elizabeth and the gardiners return to longbourn where elizabeth grieves that her renewed acquaintance with mr darcy will end because of her sisters disgrace lydia and wickham are soon found then married by the clergy they visit longbourn where lydia lets slip that mr darcy was responsible for finding the couple and negotiating their marriage at great expense to himself elizabeth is shocked but does not dwell further on the topic due to mr bingleys return and subsequent proposal to jane who immediately accepts lady catherine de bourgh later bursts in on longbourn intending to thwart local rumour she warns elizabeth against marrying mr darcy elizabeth refuses her demands disgusted lady catherine leaves and drops by to inform her nephew on elizabeths abominable behaviour however this lends hope to darcy that elizabeths opinion of him may have changed he travels to longbourn and proposes again and now elizabeth accepts
Pale Fire,Vladimir Vladimirovich Nabokov,shades poem digressively describes many aspects of his life canto includes his early encounters with death and glimpses of what he takes to be the supernatural canto is about his family and the apparent suicide of his daughter hazel shade canto focuses on shades search for knowledge about an afterlife culminating in a faint hope in higher powers playing a game of worlds as indicated by apparent coincidences canto offers details on shades daily life and creative process as well as thoughts on his poetry which he finds to be a means of somehow understanding the universe in kinbotes editorial contributions he tells three stories intermixed with each other one is his own story notably including what he thinks of as his friendship with shade after shade was murdered kinbote acquired the manuscript including some variants and has taken it upon himself to oversee the poems publication telling readers that it lacks only line kinbotes second story deals with king charles ii the beloved the deposed king of zembla king charles escaped imprisonment by soviet backed revolutionaries making use of a secret passage and brave adherents in disguise kinbote repeatedly claims that he inspired shade to write the poem by recounting king charless escape to him and that possible allusions to the king and to zembla appear in shades poem especially in rejected drafts however no explicit reference to king charles is to be found in the poem kinbotes third story is that of gradus an assassin dispatched by the new rulers of zembla to kill the exiled king charles gradus makes his way from zembla through europe and america to new wye suffering comic mishaps in the last note to the missing line kinbote narrates how gradus killed shade by mistake the reader soon realizes that kinbote is king charles living incognito or though kinbote builds an elaborate picture of zembla complete with samples of a constructed language that he is insane and that his identification with king charles is a delusion as perhaps all of zembla is nabokov said in an interview that kinbote committed suicide after finishing the book the critic michael wood has stated this is authorial trespassing and we dont have to pay attention to it but brian boyd has argued that internal evidence points to kinbotes suicide one of kinbotes annotations to shades poem corresponding to line addresses the subject of suicide at some length
